SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
351,102203507,5,5,3,4,3,4,4,4,5,5,4,5,41,27.3
352,102203508,5,5,5,5,4,AB,2,4,5,5,5,5,44,29.3
353,102203510,4,4,5,5,5,5,3,5,5,5,4,5,44,29.3
354,102203513,5,5,5,3,2,AB,5,3,4,5,5,5,42,28.0
355,102203522,4,4,5,AB,5,4,4,5,5,5,5,5,43,28.7
356,102203523,5,5,4,5,4,4,4,3,5,5,5,4,42,28.0
357,102203525,5,5,4,4,4,4,2,4,5,5,5,5,42,28.0
358,102203526,5,5,4,5,3,4,4,4,5,5,5,5,43,28.7
359,102203528,5,5,4,3,AB,3,4,5,5,5,5,5,43,28.7
360,102203531,5,5,5,5,4,4,5,4,5,5,5,5,45,30.0
361,102203532,4,4,5,3,3,5,4,5,5,5,4,5,42,28.0
362,102203533,5,5,5,5,1,3,2,4,4,5,AB,AB,38,25.3
363,102203536,5,5,5,4,4,4,4,5,5,5,5,5,44,29.3
364,102203537,4,4,5,5,4,4,2,4,5,5,5,5,42,28.0
365,102203538,5,5,4,4,4,5,5,4,5,5,5,4,43,28.7
366,102203539,5,5,AB,AB,5,5,4,4,4,5,4,3,41,27.3
367,102203545,2,2,1,4,3,4,5,5,4,5,5,3,38,25.3
368,102203546,3,3,5,5,4,5,3,4,4,5,AB,AB,38,25.3
369,102203547,5,5,5,5,2,5,2,2,5,5,4,5,44,29.3
370,102203548,4,4,4,4,3,5,4,3,5,5,5,3,40,26.7
371,102203549,5,5,3,4,1,3,4,3,4,3,4,5,37,24.7
372,102203553,5,5,4,3,3,5,3,4,5,5,3,4,40,26.7
373,102203554,AB,AB,4,4,4,AB,4,3,5,5,5,5,39,26.0
374,102203559,AB,AB,4,5,5,4,3,3,5,5,5,5,41,27.3
375,102203560,4,5,4,5,5,5,4,3,4,5,5,3,42,28.0
376,102203567,5,4,5,4,3,3,4,5,5,4,4,5,41,27.3
377,102203575,5,4,5,5,AB,5,4,4,4,5,4,4,41,27.3
378,102203576,5,5,5,AB,4,4,AB,AB,5,5,5,5,43,28.7
379,102203578,AB,AB,5,4,4,4,2,4,5,5,3,4,38,25.3
380,102203579,5,5,5,4,5,5,4,3,4,5,5,3,43,28.7
381,102203580,5,5,2,AB,1,4,3,4,4,5,4,4,38,25.3
382,102203582,5,5,5,4,3,5,4,3,3,5,5,5,43,28.7
383,102203584,4,5,4,3,4,4,4,5,5,5,5,5,42,28.0
384,102203585,4,5,5,4,3,5,3,4,4,4,5,3,40,26.7
385,102203587,5,5,5,4,4,5,4,4,5,5,5,4,43,28.7
386,102203588,5,4,4,5,3,3,3,4,4,5,AB,AB,37,24.7
387,102203589,5,4,5,4,4,5,AB,AB,5,5,5,4,42,28.0
388,102203592,5,5,4,5,2,5,3,5,4,5,3,3,41,27.3
389,102203593,4,5,4,5,2,4,4,4,5,5,5,5,42,28.0
390,102203598,5,5,5,5,1,4,4,4,4,5,5,4,42,28.0
391,102203603,4,5,5,5,3,3,2,3,5,5,5,5,42,28.0
392,102203604,5,4,5,4,5,4,4,4,5,5,5,5,43,28.7
393,102203606,5,5,3,3,1,3,AB,AB,5,5,4,4,37,24.7
394,102203607,5,4,3,5,2,4,5,5,5,4,5,2,42,28.0
395,102203608,4,5,4,5,AB,5,3,3,5,5,5,4,42,28.0
396,102203609,O AB,AB,5,AB,0,AB,AB,AB,4,5,3,3,20,13.3
397,102203611,5,5,2,5,3,4,4,3,4,5,5,5,42,28.0
398,102203612,5,5,4,5,AB,5,4,3,5,5,5,5,44,29.3
399,102203613,5,4,5,4,3,5,4,4,5,5,5,4,42,28.0
400,102203616,5,5,4,AB,2,5,5,3,5,5,5,5,44,29.3
401,102203618,4,5,5,3,AB,5,5,4,4,5,5,5,43,28.7
402,102203620,5,5,3,5,4,5,2,5,5,5,5,3,44,29.3
403,102203624,4,5,3,5,4,5,3,4,5,5,5,5,43,28.7
404,102203625,5,5,5,4,3,5,3,4,5,5,5,4,43,28.7
405,102203627,5,4,4,5,AB,4,AB,AB,AB,AB,2,2,26,17.3
406,102203629,5,5,4,4,AB,5,4,3,5,5,3,5,42,28.0
407,102203630,5,4,5,3,AB,3,3,4,4,5,4,5,39,26.0
408,102203631,4,5,5,5,AB,5,1,3,5,4,5,4,42,28.0
409,102203632,5,5,4,AB,2,5,4,3,5,5,4,5,42,28.0
410,102203633,4,5,4,3,AB,5,3,3,4,5,AB,AB,36,24.0
411,102203635,5,5,5,5,4,4,4,5,4,5,5,5,44,29.3
412,102203636,5,4,5,4,4,4,4,5,4,5,5,5,42,28.0
413,102203637,5,5,5,3,3,4,3,4,4,5,4,5,41,27.3
414,102203641,4,4,AB,4,AB,5,AB,AB,AB,5,AB,AB,22,14.7
415,102203647,5,5,AB,4,3,4,3,4,5,5,5,3,40,26.7
416,102203648,5,5,5,5,AB,3,5,4,5,5,5,5,45,30.0
417,102203652,5,5,4,5,AB,4,3,4,5,5,3,3,40,26.7
418,102203655,5,4,AB,AB,AB,AB,AB,AB,2,4,AB,AB,15,10.0
419,102203657,5,5,4,5,3,5,3,3,5,5,5,5,44,29.3
420,102203660,5,5,5,4,2,3,3,4,4,5,4,3,39,26.0
421,102203661,4,5,4,5,AB,5,5,4,4,5,4,3,41,27.3
422,102203663,4,5,5,5,4,5,4,5,5,5,4,5,44,29.3
423,102203665,5,5,3,5,2,4,4,5,5,5,5,4,43,28.7
424,102203669,5,5,4,4,2,3,4,3,5,5,5,5,42,28.0
425,102203673,5,4,5,5,AB,3,5,4,5,5,5,4,43,28.7
426,102203674,5,4,5,4,4,3,1,5,5,4,5,4,41,27.3
427,102203675,5,5,3,5,4,5,2,5,4,5,5,5,44,29.3
428,102203676,5,5,AB,4,1,3,4,4,5,5,5,5,42,28.0
429,102203678,4,5,5,4,3,4,4,4,5,5,4,3,40,26.7
430,102203680,4,5,AB,5,4,3,5,5,5,5,4,4,42,28.0
431,102203689,5,5,4,5,AB,4,3,4,5,5,5,4,42,28.0
432,102203743,5,5,3,AB,AB,5,2,4,5,5,AB,AB,34,22.7
433,102203752,5,4,3,5,3,AB,AB,AB,AB,AB,AB,AB,20,13.3
434,102203792,5,4,5,5,2,5,4,4,5,5,AB,AB,42,28.0
435,102203908,5,5,3,5,AB,5,2,3,5,5,4,5,42,28.0
436,102203975,4,5,4,AB,3,5,3,4,5,5,5,4,41,27.3
437,102203977,5,5,4,5,AB,4,3,5,4,5,5,5,43,28.7
438,102203978,0,5,4,4,3,4,5,4,5,5,5,5,42,28.0
439,102203980,5,5,5,4,2,5,4,4,5,5,4,5,43,28.7
440,102213030,5,4,3,5,AB,5,4,3,3,5,4,5,40,26.7
441,102253010,5,5,3,5,AB,4,3,4,4,4,5,5,41,27.3
442,102383018,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
443,102383019,5,5,4,5,3,3,2,3,4,5,5,5,41,27.3
444,102383020,5,5,4,4,0,3,2,3,AB,AB,AB,AB,26,17.3
445,102383022,2,5,5,5,4,4,3,4,5,5,5,3,42,28.0
446,102383024,AB,AB,5,4,AB,4,3,3,4,5,4,5,37,24.7
447,102383025,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
448,102383026,0,5,3,3,5,5,5,5,5,5,5,4,44,29.3
449,102383027,0,5,4,AB,AB,4,4,3,4,4,5,5,38,25.3
450,102383029,0,5,1,3,3,AB,5,5,5,5,4,5,40,26.7
451,102383051,0,2,5,5,AB,3,AB,AB,5,5,4,5,34,22.7
452,102383052,AB,AB,5,5,AB,5,3,4,4,5,4,3,38,25.3
453,102383063,AB,AB,5,5,3,3,4,4,5,5,5,4,40,26.7
454,102203082,4,3,4,4,4,3,3,5,5,5,5,5,41,27.3
455,102203102,5,4,5,5,4,3,AB,AB,AB,5,AB,2,33,22.0
456,102203137,5,4,AB,5,4,4,4,4,5,5,AB,4,40,26.7
457,102203209,4,3,5,4,3,5,4,4,5,5,4,AB,40,26.7
458,102203249,5,3,4,4,3,5,4,4,5,5,4,5,41,27.3
459,102203509,5,3,5,AB,2,4,4,2,5,AB,5,5,38,25.3
460,102203534,AB,0,AB,AB,4,4,3,3,5,5,5,3,32,21.3
461,102203543,4,AB,5,5,3,5,3,4,5,5,4,5,42,28.0
462,102203594,5,3,AB,4,4,AB,4,3,AB,5,4,5,37,24.7
463,102203596,4,0,4,4,2,5,5,4,5,5,5,4,41,27.3
464,102203597,5,5,4,4,4,5,2,4,4,5,5,5,42,28.0
465,102203601,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
466,102203679,5,3,4,5,4,AB,4,4,5,4,5,5,41,27.3
467,102203681,4,4,4,5,3,5,3,3,5,AB,5,3,38,25.3
468,102203683,4,4,4,5,4,4,AB,AB,4,5,2,3,37,24.7
469,102203685,AB,4,2,5,3,4,4,5,4,5,5,5,41,27.3
470,102203686,5,AB,4,5,3,5,3,5,5,5,5,5,44,29.3
471,102203693,5,4,4,5,2,5,4,5,5,5,3,3,42,28.0
472,102203694,5,4,5,5,3,3,4,4,4,5,AB,5,41,27.3
473,102203695,4,3,4,5,4,3,4,4,5,5,4,5,40,26.7
474,102203696,4,AB,3,5,4,AB,AB,AB,5,5,5,1,32,21.3
475,102203697,5,4,AB,5,3,5,5,4,3,5,5,5,43,28.7
476,102203698,5,3,5,4,4,4,3,3,5,5,5,5,42,28.0
477,102203699,5,1,5,5,5,3,4,4,5,5,5,5,44,29.3
478,102203701,5,5,5,5,2,5,3,5,5,5,5,5,45,30.0
479,102203702,3,1,3,4,AB,5,2,5,AB,AB,AB,AB,23,15.3
480,102203703,5,5,3,4,4,4,5,5,4,5,4,5,42,28.0
481,102203704,AB,5,AB,4,4,5,5,4,5,AB,4,4,40,26.7
482,102203708,4,1,5,AB,3,5,4,3,5,AB,4,5,38,25.3
483,102203711,4,2,3,5,AB,4,3,3,5,5,5,2,37,24.7
484,102203713,5,5,4,4,4,4,3,5,5,AB,5,1,41,27.3
485,102203714,5,5,4,5,1,5,4,3,3,5,AB,AB,39,26.0
486,102203715,AB,2,5,5,4,5,3,4,4,5,5,5,42,28.0
487,102203717,5,AB,4,AB,4,4,3,4,3,AB,4,4,35,23.3
488,102203719,4,4,4,4,4,3,AB,AB,AB,AB,AB,AB,23,15.3
489,102203720,5,1,4,5,2,5,5,5,4,5,5,5,44,29.3
490,102203722,5,2,5,5,3,4,5,5,5,5,AB,5,44,29.3
491,102203723,AB,5,5,4,2,5,3,4,AB,5,5,5,41,27.3
492,102203725,5,5,3,5,4,5,3,5,5,5,5,3,44,29.3
493,102203726,5,5,4,4,2,AB,4,4,5,5,4,4,40,26.7
494,102203729,4,5,4,5,AB,4,2,5,5,5,AB,3,40,26.7
495,102203730,4,4,4,5,4,5,4,5,5,AB,5,5,42,28.0
496,102203731,5,2,4,5,2,4,4,3,5,AB,5,AB,37,24.7
497,102203732,4,4,2,2,2,4,3,2,5,5,AB,1,31,20.7
498,102203733,5,3,4,4,3,4,4,5,5,5,5,3,41,27.3
499,102203734,5,4,5,5,AB,5,2,4,3,5,5,5,43,28.7
500,102203736,5,4,4,5,2,4,4,5,5,5,5,5,43,28.7
501,102203738,5,2,4,AB,3,5,4,5,5,5,5,3,41,27.3
502,102203739,4,AB,4,5,AB,4,2,4,5,AB,AB,1,29,19.3
503,102203741,AB,3,3,3,4,5,4,4,5,5,AB,5,38,25.3
504,102203742,4,2,4,AB,4,AB,AB,AB,AB,5,5,4,28,18.7
505,102203744,3,4,3,5,5,5,3,4,5,AB,5,4,40,26.7
506,102203747,5,3,4,4,AB,AB,AB,AB,4,5,AB,5,30,20.0
507,102203753,5,3,4,5,4,5,AB,AB,4,5,5,2,40,26.7
508,102203754,2,1,5,4,2,4,5,3,5,4,5,3,38,25.3
509,102203755,5,2,4,4,4,4,2,4,5,5,5,5,41,27.3
510,102203756,4,4,4,4,3,5,3,4,5,5,AB,3,38,25.3
511,102203758,5,4,4,5,2,4,5,4,4,5,4,5,41,27.3
512,102203759,5,4,3,4,5,5,4,5,5,5,5,5,44,29.3
513,102203761,AB,4,5,4,3,5,4,4,5,5,5,4,41,27.3
514,102203765,5,AB,4,4,3,5,4,4,2,4,5,3,38,25.3
515,102203766,5,4,5,4,AB,4,4,4,5,5,5,4,41,27.3
516,102203768,5,2,5,4,5,4,4,5,5,5,5,4,43,28.7
517,102203769,5,3,AB,4,5,5,4,4,4,5,5,3,41,27.3
518,102203771,5,4,4,4,3,5,2,3,AB,4,3,5,37,24.7
519,102203772,3,4,4,5,4,2,5,3,5,5,4,AB,39,26.0
520,102203773,5,3,4,4,3,5,5,2,5,4,4,5,41,27.3
521,102203776,5,3,3,5,AB,5,3,4,5,4,AB,3,37,24.7
522,102203777,5,0,5,5,4,5,4,4,5,5,5,AB,43,28.7
523,102203778,5,4,4,5,2,5,5,3,5,5,4,5,43,28.7
524,102203783,4,3,4,5,5,5,4,4,3,5,3,3,39,26.0
525,102203784,5,3,4,5,4,5,4,4,4,5,5,5,42,28.0
526,102203785,4,4,4,5,4,4,5,4,5,5,5,5,42,28.0
527,102203786,AB,3,5,5,2,4,3,3,5,5,5,5,40,26.7
528,102203788,5,3,5,5,5,5,4,4,4,5,AB,3,42,28.0
529,102203790,3,4,5,4,3,5,4,3,AB,5,5,1,38,25.3
530,102203791,5,1,4,AB,5,3,AB,AB,4,4,AB,2,28,18.7
531,102203793,5,3,5,AB,5,4,4,3,5,5,4,5,42,28.0
532,102203795,AB,1,4,3,5,AB,3,4,5,5,5,5,39,26.0
533,102203796,5,3,5,5,AB,4,3,4,5,5,AB,5,41,27.3
534,102203797,3,5,5,3,4,5,3,5,5,5,AB,5,42,28.0
535,102203798,4,5,4,5,3,5,4,3,AB,5,5,4,41,27.3
536,102203801,5,4,3,5,AB,3,4,5,5,4,3,AB,38,25.3
537,102203802,4,2,5,5,AB,4,4,5,5,5,5,5,43,28.7
538,102203804,5,3,4,5,5,5,3,5,5,5,AB,5,44,29.3
539,102203806,3,3,4,3,4,5,4,4,5,5,4,3,38,25.3
540,102203808,5,5,5,5,4,4,4,5,5,5,4,3,43,28.7
541,102203809,AB,AB,5,AB,AB,4,2,4,5,5,AB,5,30,20.0
542,102203810,5,AB,3,5,4,AB,3,4,5,4,5,3,38,25.3
543,102203812,AB,4,4,3,3,4,3,4,5,5,5,1,37,24.7
544,102203815,4,5,4,4,4,3,5,4,5,4,4,AB,39,26.0
545,102203816,5,4,4,5,4,5,5,5,4,AB,4,5,42,28.0
546,102203818,4,3,5,5,3,4,3,4,5,5,5,5,42,28.0
547,102203819,5,3,5,5,4,4,4,5,4,5,AB,4,41,27.3
548,102203820,5,4,5,4,2,AB,3,5,5,5,3,5,41,27.3
549,102203821,4,AB,5,3,3,5,5,3,5,AB,5,5,40,26.7
550,102203822,AB,3,4,AB,3,4,5,5,5,5,4,5,40,26.7
551,102203826,5,4,5,5,2,5,3,5,4,5,5,5,44,29.3
552,102203827,5,0,4,5,4,5,3,4,5,5,5,5,43,28.7
553,102203828,3,4,4,4,3,4,2,5,4,5,4,4,38,25.3
554,102203829,5,AB,4,5,2,AB,3,4,AB,5,AB,2,30,20.0
555,102203831,5,2,5,5,AB,4,3,5,5,5,5,5,44,29.3
556,102203833,4,1,4,4,5,AB,2,4,5,AB,4,5,37,24.7
557,102203838,4,4,3,4,2,4,4,3,5,5,5,4,39,26.0
558,102203840,4,4,5,5,2,3,3,5,4,5,5,3,40,26.7
559,102203841,4,1,5,5,3,5,2,3,5,3,4,2,37,24.7
560,102203842,5,5,5,5,2,3,4,3,5,5,5,4,43,28.7
561,102203846,5,2,4,5,4,4,AB,AB,5,5,5,5,42,28.0
562,102203847,4,3,2,4,5,2,4,5,5,4,5,4,40,26.7
563,102203849,5,3,5,4,4,5,2,4,5,4,5,5,42,28.0
564,102203851,5,0,5,4,3,5,4,3,5,5,AB,5,41,27.3
565,102203852,2,3,4,5,4,4,5,4,5,5,4,5,41,27.3
566,102203854,AB,4,5,4,2,5,4,4,5,5,5,5,42,28.0
567,102203856,5,AB,5,4,4,5,4,4,AB,5,5,2,41,27.3
568,102203857,5,2,5,4,AB,5,3,4,5,5,AB,4,40,26.7
569,102203858,5,3,5,4,2,5,2,5,5,5,4,5,43,28.7
570,102203859,5,2,4,5,3,4,3,4,AB,4,5,4,38,25.3
571,102203860,4,3,2,3,2,4,4,4,4,4,5,AB,35,23.3
572,102203862,5,3,4,5,3,3,3,4,AB,5,AB,5,37,24.7
573,102203863,4,3,4,4,AB,4,4,5,5,AB,4,5,39,26.0
574,102203864,AB,3,3,3,AB,4,5,3,4,5,AB,3,33,22.0
575,102203867,2,2,AB,5,4,5,4,5,5,5,AB,5,40,26.7
576,102203869,5,3,4,4,3,4,4,4,5,5,5,5,41,27.3
577,102203870,4,4,4,5,4,5,3,4,AB,5,5,5,41,27.3
578,102203873,AB,AB,4,5,5,5,4,4,5,AB,5,2,39,26.0
579,102203874,3,3,4,4,3,3,2,4,5,5,5,5,38,25.3
580,102203875,5,5,4,4,3,5,4,4,5,5,5,4,42,28.0
581,102203876,5,3,4,4,4,4,1,4,5,5,5,4,40,26.7
582,102203881,AB,AB,5,4,4,5,4,3,5,5,5,5,42,28.0
583,102203882,5,0,5,4,3,5,4,4,4,5,AB,5,41,27.3
584,102203883,4,5,3,5,4,4,4,4,5,5,5,5,42,28.0
585,102203884,5,3,4,5,3,4,2,4,5,5,5,5,42,28.0
586,102203887,5,5,4,5,3,4,4,5,5,5,AB,5,43,28.7
587,102203891,AB,AB,5,5,5,4,5,3,5,AB,5,AB,37,24.7
588,102203897,5,3,AB,4,AB,4,3,3,AB,5,4,5,36,24.0
589,102203912,5,5,5,AB,3,5,AB,AB,4,5,AB,AB,32,21.3
590,102203982,5,4,5,4,4,5,4,3,5,5,5,5,43,28.7
591,102203983,4,3,5,4,3,3,4,4,5,AB,5,2,37,24.7
592,102203987,2,4,3,4,AB,4,2,5,4,5,5,3,37,24.7
593,102203989,5,4,AB,5,4,5,5,4,5,5,5,2,43,28.7
594,102203992,5,2,4,5,3,4,3,4,5,5,AB,5,40,26.7
595,102203993,AB,2,4,AB,4,AB,4,4,AB,AB,4,4,26,17.3
596,102253011,4,5,AB,3,3,AB,5,5,5,5,5,5,42,28.0
597,102253015,5,4,4,4,1,AB,4,4,5,5,5,AB,40,26.7
598,102383033,AB,AB,3,4,AB,5,5,2,AB,5,AB,AB,24,16.0
599,102383035,5,3,5,AB,AB,3,4,4,5,5,4,5,40,26.7
600,102383044,2,4,4,AB,4,4,3,5,AB,5,AB,4,35,23.3
601,102383045,2,2,5,AB,3,4,3,5,5,5,AB,4,36,24.0
602,702200031,AB,AB,5,4,3,AB,4,4,5,AB,5,AB,30,20.0
603,102103005,5,5,5,5,5,5,4,AB,4,5,4,1,43,28.7
604,102103516,AB,AB,5,5,2,4,3,AB,5,5,4,3,36,24.0
605,102203006,5,5,1,5,4,5,3,5,5,4,4,4,42,28.0
606,102203010,5,4,5,AB,1,4,4,4,4,5,3,5,40,26.7
607,102203011,5,2,4,4,0,5,3,4,5,5,5,4,41,27.3
608,102203019,5,4,3,AB,3,5,4,4,5,4,4,2,38,25.3
609,102203038,4,5,2,5,5,5,3,3,5,5,5,5,44,29.3
610,102203048,4,4,4,4,4,5,3,4,4,5,5,3,39,26.0
611,102203062,4,4,5,4,5,4,3,5,5,5,4,5,42,28.0
612,102203068,AB,2,AB,4,AB,1,3,3,3,4,4,3,27,18.0
613,102203075,5,1,5,5,2,5,2,4,3,5,3,5,40,26.7
614,102203079,4,4,4,AB,3,3,5,AB,3,5,4,4,36,24.0
615,102203083,5,1,5,5,2,4,4,4,4,5,5,5,42,28.0
616,102203092,5,4,5,4,2,3,3,5,AB,AB,AB,AB,31,20.7
617,102203107,4,3,4,4,1,4,4,4,5,4,4,4,37,24.7
618,102203112,5,3,5,5,4,5,5,4,5,5,5,4,44,29.3
619,102203132,AB,4,4,3,3,4,5,4,5,5,4,3,38,25.3
620,102203141,5,2,3,5,5,5,5,5,5,4,5,5,45,30.0
621,102203162,5,5,2,5,3,5,3,5,5,5,4,2,42,28.0
622,102203174,AB,3,4,4,AB,5,4,4,4,5,5,4,39,26.0
623,102203185,5,3,4,5,3,3,5,5,4,4,4,3,39,26.0
624,102203196,5,4,5,4,4,4,3,3,5,5,4,3,40,26.7
625,102203247,5,3,4,AB,3,4,4,5,4,5,5,5,41,27.3
626,102203251,5,2,5,AB,5,3,2,5,5,5,4,2,39,26.0
627,102203264,5,3,3,4,3,4,4,3,5,5,5,5,40,26.7
628,102203268,5,4,4,5,2,4,2,4,5,4,5,5,41,27.3
629,102203271,5,0,4,5,4,4,4,AB,5,5,4,4,40,26.7
630,102203276,5,4,2,AB,3,5,5,4,3,5,3,3,37,24.7
631,102203277,5,4,4,4,3,5,4,5,4,5,5,5,42,28.0
632,102203286,4,AB,5,AB,4,5,2,4,5,2,4,4,37,24.7
633,102203287,3,AB,2,5,2,4,3,AB,3,4,5,1,31,20.7
634,102203296,5,4,4,4,2,4,4,4,4,5,5,2,39,26.0
635,102203316,4,AB,4,5,5,5,3,AB,5,5,5,2,41,27.3
636,102203318,5,3,3,5,5,4,4,5,5,4,5,3,42,28.0
637,102203320,2,1,AB,AB,1,5,2,AB,3,5,5,3,27,18.0
638,102203323,5,3,5,4,3,4,2,3,4,4,5,5,39,26.0
639,102203347,4,3,5,4,5,5,5,4,4,5,4,4,41,27.3
640,102203364,4,1,4,4,AB,4,4,3,5,5,5,2,38,25.3
641,102203367,AB,2,5,5,3,5,3,5,4,5,5,2,40,26.7
642,102203390,AB,2,5,4,3,4,3,4,5,5,4,5,39,26.0
643,102203396,5,4,5,5,2,4,4,4,5,5,3,1,41,27.3
644,102203399,5,2,4,4,4,4,5,5,4,5,4,3,40,26.7
645,102203406,4,4,5,4,2,3,5,4,5,5,5,4,41,27.3
646,102203426,4,4,5,5,4,4,3,4,5,5,4,3,40,26.7
647,102203444,5,4,2,3,5,4,3,5,5,5,4,5,42,28.0
648,102203452,1,3,4,4,3,4,4,4,5,5,5,4,39,26.0
649,102203454,3,2,4,4,4,5,4,5,4,5,4,5,40,26.7
650,102203458,5,5,5,5,5,5,4,4,4,5,4,5,44,29.3
651,102203460,5,3,5,5,2,5,1,4,4,5,5,4,42,28.0
652,102203463,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
653,102203471,AB,3,4,4,4,3,1,4,5,5,3,2,35,23.3
654,102203477,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
655,102203499,5,4,4,5,4,2,2,4,5,5,5,5,42,28.0
656,102203511,5,3,4,5,3,4,3,AB,5,5,4,5,40,26.7
657,102203514,5,5,3,5,1,4,3,5,5,5,4,3,41,27.3
658,102203529,5,1,5,5,4,4,2,5,5,5,5,4,43,28.7
659,102203561,5,4,4,5,3,5,4,AB,4,5,4,1,40,26.7
660,102203573,5,5,4,4,5,4,4,4,3,5,5,5,42,28.0
661,102203614,5,5,4,4,1,5,4,AB,4,5,4,5,41,27.3
662,102203617,5,3,3,4,5,4,2,5,5,5,5,5,43,28.7
663,102203639,5,AB,4,4,5,5,3,5,5,5,5,5,44,29.3
664,102203643,5,4,3,4,3,4,4,4,5,5,4,5,40,26.7
665,102203646,3,4,5,5,2,4,3,4,5,5,4,3,39,26.0
666,102203684,5,3,5,5,3,3,4,4,5,5,4,3,40,26.7
667,102203688,AB,3,3,3,4,4,1,3,5,5,4,4,35,23.3
668,102203710,5,5,5,5,4,5,4,3,5,5,3,4,43,28.7
669,102203728,5,4,4,AB,3,4,3,4,5,5,4,3,38,25.3
670,102203737,5,2,4,5,3,5,4,5,4,5,5,1,42,28.0
671,102203750,5,5,5,4,4,3,4,5,3,5,5,2,42,28.0
672,102203764,5,AB,5,4,AB,5,5,4,4,5,4,1,41,27.3
673,102203767,5,4,5,4,2,4,5,5,5,5,4,5,43,28.7
674,102203774,4,3,3,5,4,4,4,5,5,5,4,4,40,26.7
675,102203782,5,4,4,5,4,4,2,AB,4,5,4,4,39,26.0
676,102203807,AB,3,4,4,3,5,3,4,5,5,5,3,38,25.3
677,102203835,4,5,4,3,5,3,4,4,5,5,5,5,42,28.0
678,102203848,4,3,2,3,4,5,3,4,4,5,5,3,37,24.7
679,102203866,5,2,4,4,2,5,4,4,4,5,5,2,40,26.7
680,102203877,5,4,4,5,4,4,3,5,4,5,5,5,42,28.0
681,102203888,3,4,4,5,3,4,4,5,5,5,4,5,41,27.3
682,102203890,5,4,AB,3,2,5,4,4,5,5,4,5,41,27.3
683,102203892,5,4,3,5,4,4,5,3,5,5,4,5,42,28.0
684,102203895,5,4,4,5,2,4,4,5,5,4,4,1,40,26.7
685,102203896,5,5,4,AB,3,4,5,4,5,4,4,5,41,27.3
686,102203898,5,4,4,5,2,4,4,4,5,5,4,2,40,26.7
687,102203899,5,4,5,5,4,3,3,AB,4,5,5,5,42,28.0
688,102203901,4,4,4,4,4,5,4,4,AB,3,5,4,38,25.3
689,102203902,5,4,4,5,4,4,3,4,3,5,4,4,39,26.0
690,102203903,4,4,3,2,5,4,4,4,3,5,4,2,37,24.7
691,102203905,5,1,4,4,4,3,3,4,4,5,4,5,39,26.0
692,102203907,AB,5,4,5,2,5,2,4,5,5,4,4,41,27.3
693,102203913,AB,4,3,5,2,5,3,5,4,5,5,5,41,27.3
694,102203914,5,4,5,5,3,5,3,4,4,4,5,4,41,27.3
695,102203916,5,4,4,5,4,5,3,4,4,5,4,1,40,26.7
696,102203919,4,3,4,5,3,4,4,4,4,5,5,5,40,26.7
697,102203920,5,5,5,5,3,5,4,AB,5,5,5,2,44,29.3
698,102203924,4,3,AB,4,3,4,3,AB,4,4,5,3,34,22.7
699,102203932,5,3,5,5,5,4,3,5,5,5,3,2,42,28.0
700,102203933,4,4,4,4,4,5,5,3,5,5,5,5,42,28.0
701,102203934,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
702,102203935,5,5,AB,4,3,4,3,4,5,5,5,2,40,26.7
